device_id,UTC_datetime,UTC_date,UTC_time,datatype,satcount,U_bat_mV,bat_soc_pct,solar_I_mA,hdop,Latitude,Longitude,Altitude_m,speed_km_h,direction_deg,temperature_C,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,
180088,2018-06-27 10:55:05,2018-06-27,10:55:05,GPS,6,4175,100,0,1.3,44.801833999999999,1.611277000000000,268,0,257,41,190,-515,-745,-111,-479,949,
180088,2018-06-27 10:55:05,2018-06-27,10:55:05,SENSORS,,,,,,,,,,,41,196,-517,-751,-113,-455,974,
180088,2018-06-27 10:55:06,2018-06-27,10:55:06,GPS,6,4175,100,0,1.3,44.801830000000002,1.611278000000000,268,0,237,41,195,-517,-740,-125,-451,966,
180088,2018-06-27 10:55:06,2018-06-27,10:55:06,SENSORS,,,,,,,,,,,41,193,-517,-745,-113,-465,943,
180088,2018-06-27 10:55:07,2018-06-27,10:55:07,GPS,6,4178,100,0,1.3,44.801830000000002,1.611278000000000,268,0,237,41,194,-517,-742,-121,-472,955,
180088,2018-06-27 10:55:07,2018-06-27,10:55:07,SENSORS,,,,,,,,,,,41,200,-515,-735,-113,-451,951,
180088,2018-06-27 10:55:08,2018-06-27,10:55:08,GPS,6,4178,100,0,1.3,44.801830000000002,1.611275000000000,268,0,259,41,196,-518,-749,-125,-472,946,
180088,2018-06-27 10:55:08,2018-06-27,10:55:08,SENSORS,,,,,,,,,,,41,192,-519,-739,-129,-473,945,
180088,2018-06-27 10:55:09,2018-06-27,10:55:09,GPS,6,4178,100,0,1.3,44.801825999999998,1.611270000000000,268,0,251,41,183,-526,-748,-117,-490,935,
180088,2018-06-27 10:55:09,2018-06-27,10:55:09,SENSORS,,,,,,,,,,,41,188,-523,-750,-113,-494,925,
180088,2018-06-27 10:55:10,2018-06-27,10:55:10,GPS,6,4183,100,0,1.3,44.801825999999998,1.611262000000000,268,0,245,41,174,-527,-774,-244,-595,938,
180088,2018-06-27 10:55:10,2018-06-27,10:55:10,SENSORS,,,,,,,,,,,41,177,-530,-761,-81,-509,929,
180088,2018-06-27 10:55:11,2018-06-27,10:55:11,GPS,6,4175,100,0,1.3,44.801822999999999,1.611258000000000,267,0,243,41,188,-550,-742,-86,-470,963,
180088,2018-06-27 10:55:11,2018-06-27,10:55:11,SENSORS,,,,,,,,,,,41,187,-548,-732,-81,-500,950,
180088,2018-06-27 10:55:12,2018-06-27,10:55:12,GPS,6,4180,100,0,1.3,44.801822999999999,1.611257000000000,267,0,244,41,180,-528,-747,-243,-458,938,
180088,2018-06-27 10:55:12,2018-06-27,10:55:12,SENSORS,,,,,,,,,,,41,185,-531,-753,-305,-461,987,
180088,2018-06-27 10:55:13,2018-06-27,10:55:13,GPS,6,4175,100,0,1.3,44.801819000000002,1.611250000000000,266,0,242,41,266,-443,-726,-243,-352,965,
180088,2018-06-27 10:55:13,2018-06-27,10:55:13,SENSORS,,,,,,,,,,,41,294,-429,-723,-209,-251,982,
180088,2018-06-27 10:55:14,2018-06-27,10:55:14,GPS,6,4175,100,0,1.3,44.801814999999998,1.611245000000000,267,0,212,41,403,-357,-717,-344,-308,923,
180088,2018-06-27 10:55:14,2018-06-27,10:55:14,SENSORS,,,,,,,,,,,41,434,-355,-698,-401,-150,936,
180088,2018-06-27 10:55:15,2018-06-27,10:55:15,GPS,6,4178,100,0,1.3,44.801806999999997,1.611245000000000,266,0,202,41,437,-442,-629,39,-224,1039,
180088,2018-06-27 10:55:15,2018-06-27,10:55:15,SENSORS,,,,,,,,,,,41,450,-436,-634,-33,-220,1104,
180088,2018-06-27 10:55:16,2018-06-27,10:55:16,GPS,6,4175,100,1,1.3,44.801806999999997,1.611242000000000,265,0,208,41,445,-395,-666,-167,-257,1017,
180088,2018-06-27 10:55:16,2018-06-27,10:55:16,SENSORS,,,,,,,,,,,41,444,-395,-661,-161,-243,1023,
180088,2018-06-27 10:55:17,2018-06-27,10:55:17,GPS,6,4180,100,0,1.3,44.801806999999997,1.611240000000000,265,0,226,41,444,-408,-662,-145,-298,1005,
180088,2018-06-27 10:55:17,2018-06-27,10:55:17,SENSORS,,,,,,,,,,,41,441,-403,-660,-161,-305,1011,
180088,2018-06-27 10:55:18,2018-06-27,10:55:18,GPS,6,4180,100,0,1.3,44.801806999999997,1.611227000000000,266,0,270,41,435,-400,-649,-151,-325,995,
180088,2018-06-27 10:55:18,2018-06-27,10:55:18,SENSORS,,,,,,,,,,,41,436,-403,-659,-161,-327,1010,
180088,2018-06-27 10:55:19,2018-06-27,10:55:19,GPS,6,4175,100,0,1.3,44.801803999999997,1.611218000000000,268,0,262,41,425,-387,-671,-171,-338,995,
180088,2018-06-27 10:55:19,2018-06-27,10:55:19,SENSORS,,,,,,,,,,,41,418,-392,-669,-161,-343,996,
180088,2018-06-27 10:55:20,2018-06-27,10:55:20,GPS,6,4178,100,0,1.3,44.801803999999997,1.611217000000000,268,0,254,41,392,-393,-681,-182,-336,995,
180088,2018-06-27 10:55:20,2018-06-27,10:55:20,SENSORS,,,,,,,,,,,41,383,-394,-680,-161,-349,973,
180088,2018-06-27 10:55:21,2018-06-27,10:55:21,GPS,6,4180,100,0,1.3,44.801803999999997,1.611213000000000,268,0,267,41,364,-398,-692,-181,-377,989,
180088,2018-06-27 10:55:21,2018-06-27,10:55:21,SENSORS,,,,,,,,,,,41,364,-396,-690,-177,-366,985,
180088,2018-06-27 10:55:22,2018-06-27,10:55:22,GPS,6,4178,100,0,1.3,44.801803999999997,1.611210000000000,268,0,270,41,350,-399,-693,-178,-379,979,
180088,2018-06-27 10:55:22,2018-06-27,10:55:22,SENSORS,,,,,,,,,,,41,350,-400,-675,-161,-393,982,
180088,2018-06-27 10:55:23,2018-06-27,10:55:23,GPS,6,4183,100,0,1.3,44.801803999999997,1.611203000000000,269,0,244,40,333,-402,-707,-158,-439,956,
