device_id,UTC_datetime,UTC_date,UTC_time,datatype,satcount,U_bat_mV,bat_soc_pct,solar_I_mA,hdop,Latitude,Longitude,Altitude_m,speed_km_h,direction_deg,temperature_C,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,
180089,2018-06-27 09:13:54,2018-06-27,09:13:54,GPS,5,4181,100,0,1.4,44.801555999999998,1.611698000000000,259,0,156,43,-2035,2495,779,19,-20,1037,
180089,2018-06-27 09:13:54,2018-06-27,09:13:54,SENSORS,,,,,,,,,,,43,-2037,-1602,769,31,-18,1039,
180089,2018-06-27 09:13:55,2018-06-27,09:13:55,GPS,6,4178,100,0,1.1,44.801524999999998,1.611707000000000,262,0,54,43,-2037,2497,773,17,-23,1015,
180089,2018-06-27 09:13:55,2018-06-27,09:13:55,SENSORS,,,,,,,,,,,42,-2037,-1600,784,31,-20,1103,
180089,2018-06-27 09:13:56,2018-06-27,09:13:56,GPS,6,4184,100,0,1.1,44.801521000000001,1.611710000000000,262,0,7,42,-2038,2494,771,20,-29,1027,
180089,2018-06-27 09:13:56,2018-06-27,09:13:56,SENSORS,,,,,,,,,,,43,-2039,-1600,775,31,-26,1055,
180089,2018-06-27 09:13:57,2018-06-27,09:13:57,GPS,6,4178,100,0,1.5,44.801524999999998,1.611713000000000,261,0,32,42,-2044,2492,772,12,-46,1010,
180089,2018-06-27 09:13:57,2018-06-27,09:13:57,SENSORS,,,,,,,,,,,42,-2040,-1601,775,15,-56,1039,
180089,2018-06-27 09:13:58,2018-06-27,09:13:58,GPS,6,4187,100,0,1.1,44.801532999999999,1.611717000000000,260,0,12,42,-2045,2500,779,26,-23,1035,
180089,2018-06-27 09:13:58,2018-06-27,09:13:58,SENSORS,,,,,,,,,,,42,-2043,-1594,782,31,-27,1039,
180089,2018-06-27 09:13:59,2018-06-27,09:13:59,GPS,6,4184,100,0,1.5,44.801547999999997,1.611718000000000,260,0,4,43,-2051,2493,771,24,-29,1032,
180089,2018-06-27 09:13:59,2018-06-27,09:13:59,SENSORS,,,,,,,,,,,42,-2044,-1608,771,47,-25,1039,
180089,2018-06-27 09:14:00,2018-06-27,09:14:00,GPS,6,4178,100,0,1.5,44.801558999999997,1.611722000000000,259,0,355,42,-2040,2493,770,17,-26,1042,
180089,2018-06-27 09:14:00,2018-06-27,09:14:00,SENSORS,,,,,,,,,,,42,-2038,-1608,772,31,-18,1039,
