device_id,UTC_datetime,UTC_date,UTC_time,datatype,satcount,U_bat_mV,bat_soc_pct,solar_I_mA,hdop,Latitude,Longitude,Altitude_m,speed_km_h,direction_deg,temperature_C,altimeter_m,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,flightSession
171010,2018-06-29 09:13:44,2018-06-29,09:13:44,GPS,7,4147,100,0,1.4,44.801529,1.61181,272,0,31,27,270,694,426,465,31,-12,1032,
171010,2018-06-29 09:13:44,2018-06-29,09:13:44,SENSORS,,,,,,,,,,,27,270,689,428,467,47,-13,1042,
171010,2018-06-29 09:13:45,2018-06-29,09:13:45,GPS,7,4139,98,0,1.2,44.801529,1.611808,272,0,337,27,269,695,422,461,29,-7,1034,
171010,2018-06-29 09:13:45,2018-06-29,09:13:45,SENSORS,,,,,,,,,,,27,270,694,426,463,31,-5,1045,
171010,2018-06-29 09:13:46,2018-06-29,09:13:46,GPS,7,4139,98,0,1.2,44.801533,1.611807,272,0,307,27,269,691,425,465,32,-16,1037,
171010,2018-06-29 09:13:46,2018-06-29,09:13:46,SENSORS,,,,,,,,,,,27,270,693,426,469,47,-14,1042,
171010,2018-06-29 09:13:47,2018-06-29,09:13:47,GPS,7,4142,99,0,1.2,44.801533,1.611808,271,0,337,27,271,694,422,461,35,-14,1041,
171010,2018-06-29 09:13:47,2018-06-29,09:13:47,SENSORS,,,,,,,,,,,27,272,691,425,471,31,-16,1040,
171010,2018-06-29 09:13:48,2018-06-29,09:13:48,GPS,7,4139,98,1,1.2,44.801537,1.611807,271,0,1,27,269,696,423,464,36,-16,1028,
171010,2018-06-29 09:13:48,2018-06-29,09:13:48,SENSORS,,,,,,,,,,,27,270,691,429,464,47,-14,1048,
171010,2018-06-29 09:13:49,2018-06-29,09:13:49,GPS,7,4136,98,0,1.4,44.801537,1.611807,271,0,356,27,271,692,427,461,28,-14,1036,
171010,2018-06-29 09:13:49,2018-06-29,09:13:49,SENSORS,,,,,,,,,,,27,272,693,424,469,31,-20,1039,
171010,2018-06-29 09:13:50,2018-06-29,09:13:50,GPS,7,4133,97,0,1.4,44.80154,1.611805,271,0,344,27,269,695,425,461,33,-6,1036,
171010,2018-06-29 09:13:50,2018-06-29,09:13:50,SENSORS,,,,,,,,,,,27,270,692,427,478,47,-11,1043,
171010,2018-06-29 09:13:51,2018-06-29,09:13:51,GPS,7,4144,99,0,1.2,44.801537,1.611803,271,0,343,27,270,695,432,457,30,-14,1038,
171010,2018-06-29 09:13:51,2018-06-29,09:13:51,SENSORS,,,,,,,,,,,27,271,699,430,468,47,-10,1044,
171010,2018-06-29 09:13:52,2018-06-29,09:13:52,GPS,7,4131,97,1,1.2,44.801537,1.611802,271,0,338,27,269,700,429,470,31,-4,1039,
171010,2018-06-29 09:13:52,2018-06-29,09:13:52,SENSORS,,,,,,,,,,,27,270,699,428,472,31,-10,1037,
171010,2018-06-29 09:13:53,2018-06-29,09:13:53,GPS,7,4133,97,0,1.2,44.801537,1.611802,271,0,346,27,269,699,428,473,24,-8,1027,
171010,2018-06-29 09:13:53,2018-06-29,09:13:53,SENSORS,,,,,,,,,,,27,270,697,428,476,47,-4,1036,
171010,2018-06-29 09:13:54,2018-06-29,09:13:54,GPS,7,4139,98,0,1.4,44.801537,1.611798,271,0,245,27,268,699,428,471,34,-6,1036,
171010,2018-06-29 09:13:54,2018-06-29,09:13:54,SENSORS,,,,,,,,,,,27,269,695,429,468,31,-21,1032,
