device_id,UTC_datetime,UTC_date,UTC_time,datatype,satcount,U_bat_mV,bat_soc_pct,solar_I_mA,hdop,Latitude,Longitude,Altitude_m,speed_km_h,direction_deg,temperature_C,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,
180066,2018-06-30 08:22:44,2018-06-30,08:22:44,GPS,5,3733,17,1,1.5,44.801479000000000,1.611718000000000,286,0,162,33,-386,1112,106,20,-37,1039,
180066,2018-06-30 08:22:44,2018-06-30,08:22:44,SENSORS,,,,,,,,,,,33,-382,1115,96,31,-43,1103,
180066,2018-06-30 08:22:45,2018-06-30,08:22:45,GPS,5,3733,17,0,1.5,44.801479000000000,1.611722000000000,286,0,103,33,-384,1108,93,20,-38,1050,
180066,2018-06-30 08:22:45,2018-06-30,08:22:45,SENSORS,,,,,,,,,,,33,-384,1112,100,31,-37,1055,
180066,2018-06-30 08:22:46,2018-06-30,08:22:46,GPS,5,3735,17,1,1.5,44.801482999999998,1.611725000000000,286,0,74,33,-384,1114,105,25,-40,1050,
180066,2018-06-30 08:22:46,2018-06-30,08:22:46,SENSORS,,,,,,,,,,,33,-383,1112,102,-1,-33,1055,
180066,2018-06-30 08:22:47,2018-06-30,08:22:47,GPS,5,3738,18,1,1.5,44.801482999999998,1.611728000000000,286,0,301,33,-381,1115,104,25,-38,1050,
180066,2018-06-30 08:22:47,2018-06-30,08:22:47,SENSORS,,,,,,,,,,,33,-384,1112,96,15,-48,1055,
180066,2018-06-30 08:22:48,2018-06-30,08:22:48,GPS,5,3735,17,1,1.5,44.801482999999998,1.611730000000000,286,0,231,33,-400,1121,126,19,-35,1042,
180066,2018-06-30 08:22:48,2018-06-30,08:22:48,SENSORS,,,,,,,,,,,33,-396,1117,115,159,-8,1007,
180066,2018-06-30 08:22:49,2018-06-30,08:22:49,GPS,7,3738,18,0,1.3,44.801476000000001,1.611723000000000,285,0,223,33,-264,1003,95,-75,183,968,
180066,2018-06-30 08:22:49,2018-06-30,08:22:49,SENSORS,,,,,,,,,,,33,-272,965,107,-189,53,1087,
180066,2018-06-30 08:22:50,2018-06-30,08:22:50,GPS,7,3730,16,0,1.3,44.801479000000000,1.611725000000000,284,0,219,33,-308,708,45,207,88,1065,
180066,2018-06-30 08:22:50,2018-06-30,08:22:50,SENSORS,,,,,,,,,,,33,-317,702,47,240,112,1103,
180066,2018-06-30 08:22:51,2018-06-30,08:22:51,GPS,7,3733,17,0,1.3,44.801468000000000,1.611715000000000,283,0,176,33,-358,767,109,18,58,1155,
180066,2018-06-30 08:22:51,2018-06-30,08:22:51,SENSORS,,,,,,,,,,,33,-364,768,99,-44,147,1183,
180066,2018-06-30 08:22:52,2018-06-30,08:22:52,GPS,7,3738,18,0,1.3,44.801476000000001,1.611710000000000,282,0,314,33,-430,771,120,140,-240,930,
180066,2018-06-30 08:22:52,2018-06-30,08:22:52,SENSORS,,,,,,,,,,,33,-447,769,134,-1,-208,1087,
180066,2018-06-30 08:22:53,2018-06-30,08:22:53,GPS,7,3735,17,0,1.3,44.801476000000001,1.611707000000000,281,0,321,33,-443,762,128,-6,-136,1014,
180066,2018-06-30 08:22:53,2018-06-30,08:22:53,SENSORS,,,,,,,,,,,33,-446,759,139,-17,-192,1071,
180066,2018-06-30 08:22:54,2018-06-30,08:22:54,GPS,7,3738,18,0,1.3,44.801476000000001,1.611708000000000,281,0,332,33,-453,765,140,-38,-123,1047,
180066,2018-06-30 08:22:54,2018-06-30,08:22:54,SENSORS,,,,,,,,,,,33,-449,765,131,-33,-176,1071,
180066,2018-06-30 08:22:55,2018-06-30,08:22:55,GPS,7,3733,17,0,1.3,44.801476000000001,1.611713000000000,280,0,62,33,-455,763,142,-27,-151,1048,
180066,2018-06-30 08:22:55,2018-06-30,08:22:55,SENSORS,,,,,,,,,,,33,-451,764,134,-17,-161,1055,
180066,2018-06-30 08:22:56,2018-06-30,08:22:56,GPS,7,3733,17,0,1.3,44.801479000000000,1.611713000000000,280,0,278,33,-449,756,138,-31,-162,1034,
180066,2018-06-30 08:22:56,2018-06-30,08:22:56,SENSORS,,,,,,,,,,,33,-451,756,139,-17,-158,1039,
180066,2018-06-30 08:22:57,2018-06-30,08:22:57,GPS,7,3738,18,0,1.3,44.801482999999998,1.611717000000000,279,0,333,33,-452,767,135,-34,-162,1038,
180066,2018-06-30 08:22:57,2018-06-30,08:22:57,SENSORS,,,,,,,,,,,33,-450,760,139,-1,-169,1055,
180066,2018-06-30 08:22:58,2018-06-30,08:22:58,GPS,7,3735,17,0,1.3,44.801482999999998,1.611715000000000,278,0,256,33,-451,760,136,-31,-152,1041,
180066,2018-06-30 08:22:58,2018-06-30,08:22:58,SENSORS,,,,,,,,,,,33,-452,762,146,-33,-163,1071,
180066,2018-06-30 08:22:59,2018-06-30,08:22:59,GPS,7,3735,17,0,1.3,44.801487000000002,1.611718000000000,278,0,243,33,-452,760,140,-31,-161,1044,
180066,2018-06-30 08:22:59,2018-06-30,08:22:59,SENSORS,,,,,,,,,,,33,-451,760,132,-17,-144,1055,
180066,2018-06-30 08:23:00,2018-06-30,08:23:00,GPS,7,3730,16,0,1.3,44.801487000000002,1.611720000000000,277,0,231,33,-453,764,140,-27,-160,1035,
180066,2018-06-30 08:23:00,2018-06-30,08:23:00,SENSORS,,,,,,,,,,,33,-455,762,114,-17,-155,1055,
180066,2018-06-30 08:23:01,2018-06-30,08:23:01,GPS,7,3738,18,0,1.3,44.801487000000002,1.611722000000000,277,0,239,33,-455,762,125,-7,-143,1075,
180066,2018-06-30 08:23:01,2018-06-30,08:23:01,SENSORS,,,,,,,,,,,33,-464,761,128,-17,-120,1023,
180066,2018-06-30 08:23:02,2018-06-30,08:23:02,GPS,7,3741,19,0,1.3,44.801490999999999,1.611722000000000,277,0,228,33,-460,760,124,-36,-140,1053,
180066,2018-06-30 08:23:02,2018-06-30,08:23:02,SENSORS,,,,,,,,,,,33,-463,756,140,-33,-183,1055,
180066,2018-06-30 08:23:03,2018-06-30,08:23:03,GPS,7,3738,18,0,1.3,44.801490999999999,1.611725000000000,276,0,232,33,-453,773,128,-39,-139,1049,
180066,2018-06-30 08:23:03,2018-06-30,08:23:03,SENSORS,,,,,,,,,,,33,-441,772,134,-33,-185,1039,
180066,2018-06-30 08:23:04,2018-06-30,08:23:04,GPS,7,3735,17,0,1.3,44.801495000000003,1.611728000000000,276,0,138,33,-269,798,118,19,-162,977,
180066,2018-06-30 08:23:04,2018-06-30,08:23:04,SENSORS,,,,,,,,,,,33,-245,804,121,-1,-154,1087,
180066,2018-06-30 08:23:05,2018-06-30,08:23:05,GPS,7,3735,17,0,1.3,44.801498000000002,1.611728000000000,276,0,183,33,-186,779,142,14,-36,1043,
180066,2018-06-30 08:23:05,2018-06-30,08:23:05,SENSORS,,,,,,,,,,,33,-183,778,144,15,-55,1055,
180066,2018-06-30 08:23:06,2018-06-30,08:23:06,GPS,7,3733,17,0,1.3,44.801498000000002,1.611730000000000,276,0,110,33,-194,779,146,10,-74,1068,
180066,2018-06-30 08:23:06,2018-06-30,08:23:06,SENSORS,,,,,,,,,,,33,-197,788,155,-1,-88,1103,
180066,2018-06-30 08:23:07,2018-06-30,08:23:07,GPS,7,3738,18,0,1.3,44.801501999999999,1.611735000000000,275,0,138,33,-436,749,125,32,-88,960,
180066,2018-06-30 08:23:07,2018-06-30,08:23:07,SENSORS,,,,,,,,,,,33,-442,743,112,31,-117,1087,
180066,2018-06-30 08:23:08,2018-06-30,08:23:08,GPS,7,3735,17,0,1.3,44.801501999999999,1.611735000000000,275,0,296,33,-447,755,126,1,-158,1042,
180066,2018-06-30 08:23:08,2018-06-30,08:23:08,SENSORS,,,,,,,,,,,33,-449,749,119,-1,-147,1055,
180066,2018-06-30 08:23:09,2018-06-30,08:23:09,GPS,7,3735,17,0,1.3,44.801506000000003,1.611735000000000,274,0,82,33,-451,753,135,-12,-140,1047,
180066,2018-06-30 08:23:09,2018-06-30,08:23:09,SENSORS,,,,,,,,,,,33,-444,752,132,-17,-137,1055,
180066,2018-06-30 08:23:10,2018-06-30,08:23:10,GPS,7,3733,17,0,1.3,44.801506000000003,1.611737000000000,274,0,38,33,-451,747,133,-7,-149,1037,
180066,2018-06-30 08:23:10,2018-06-30,08:23:10,SENSORS,,,,,,,,,,,33,-457,753,127,-1,-142,1055,
180066,2018-06-30 08:23:11,2018-06-30,08:23:11,GPS,7,3735,17,0,1.3,44.801506000000003,1.611738000000000,273,0,77,33,-451,751,142,-10,-145,1047,
180066,2018-06-30 08:23:11,2018-06-30,08:23:11,SENSORS,,,,,,,,,,,33,-449,748,132,-1,-167,1055,
180066,2018-06-30 08:23:12,2018-06-30,08:23:12,GPS,7,3733,17,0,1.3,44.801506000000003,1.611737000000000,273,0,36,33,-456,753,118,13,-241,1013,
180066,2018-06-30 08:23:12,2018-06-30,08:23:12,SENSORS,,,,,,,,,,,33,-460,751,124,-17,-67,1007,
180066,2018-06-30 08:23:13,2018-06-30,08:23:13,GPS,7,3733,17,0,1.3,44.801506000000003,1.611737000000000,273,0,248,33,-388,732,64,53,-29,1026,
180066,2018-06-30 08:23:13,2018-06-30,08:23:13,SENSORS,,,,,,,,,,,33,-386,734,71,79,-9,1023,
180066,2018-06-30 08:23:14,2018-06-30,08:23:14,GPS,7,3733,17,0,1.3,44.801506000000003,1.611737000000000,272,0,16,33,-444,756,126,-32,-233,1039,
180066,2018-06-30 08:23:14,2018-06-30,08:23:14,SENSORS,,,,,,,,,,,33,-442,755,125,15,60,1087,
180066,2018-06-30 08:23:15,2018-06-30,08:23:15,GPS,7,3735,17,0,1.3,44.801506000000003,1.611735000000000,272,0,108,33,-455,755,122,-8,-143,1040,
180066,2018-06-30 08:23:15,2018-06-30,08:23:15,SENSORS,,,,,,,,,,,33,-456,754,130,-1,-161,1055,
180066,2018-06-30 08:23:16,2018-06-30,08:23:16,GPS,7,3733,17,0,1.3,44.801506000000003,1.611733000000000,272,0,330,33,-454,754,120,-8,-150,1047,
180066,2018-06-30 08:23:16,2018-06-30,08:23:16,SENSORS,,,,,,,,,,,33,-457,756,117,-1,-134,1039,
180066,2018-06-30 08:23:17,2018-06-30,08:23:17,GPS,7,3733,17,0,1.3,44.801506000000003,1.611733000000000,271,0,101,33,-448,756,121,-11,-162,1041,
