device_id,UTC_datetime,UTC_date,UTC_time,datatype,satcount,U_bat_mV,bat_soc_pct,solar_I_mA,hdop,Latitude,Longitude,Altitude_m,speed_km_h,direction_deg,temperature_C,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,flightSession
180088,2018-06-30 12:44:05,2018-06-30,12:44:05,GPS,6,3910,60,0,1.3,44.801804,1.611412,280,0,283,67,274,-1112,-360,235,-231,1015,
180088,2018-06-30 12:44:05,2018-06-30,12:44:05,SENSORS,,,,,,,,,,,67,273,-1111,-355,239,-230,1006,
180088,2018-06-30 12:44:06,2018-06-30,12:44:06,GPS,6,3913,61,0,1.3,44.8018,1.611412,280,0,304,67,276,-1109,-362,224,-231,1015,
180088,2018-06-30 12:44:06,2018-06-30,12:44:06,SENSORS,,,,,,,,,,,67,276,-1104,-357,239,-230,1025,
180088,2018-06-30 12:44:07,2018-06-30,12:44:07,GPS,6,3916,61,0,1.3,44.8018,1.611407,280,0,287,67,275,-1108,-363,225,-229,1015,
180088,2018-06-30 12:44:07,2018-06-30,12:44:07,SENSORS,,,,,,,,,,,67,272,-1107,-368,223,-231,1011,
180088,2018-06-30 12:44:08,2018-06-30,12:44:08,GPS,6,3916,61,0,1.3,44.8018,1.611403,281,0,270,67,271,-1109,-364,242,-222,1012,
180088,2018-06-30 12:44:08,2018-06-30,12:44:08,SENSORS,,,,,,,,,,,67,275,-1111,-366,255,-217,1026,
180088,2018-06-30 12:44:09,2018-06-30,12:44:09,GPS,6,3916,61,0,1.3,44.801796,1.611402,281,0,283,67,273,-1104,-353,232,-228,1010,
180088,2018-06-30 12:44:09,2018-06-30,12:44:09,SENSORS,,,,,,,,,,,67,273,-1106,-353,223,-231,1017,
180088,2018-06-30 12:44:10,2018-06-30,12:44:10,GPS,6,3913,61,0,1.3,44.801792,1.611402,282,0,275,67,270,-1103,-358,221,-232,1015,
180088,2018-06-30 12:44:10,2018-06-30,12:44:10,SENSORS,,,,,,,,,,,67,272,-1102,-359,223,-252,994,
180088,2018-06-30 12:44:11,2018-06-30,12:44:11,GPS,6,3913,61,0,1.3,44.801788,1.611402,282,0,278,67,270,-1105,-357,221,-229,1025,
180088,2018-06-30 12:44:11,2018-06-30,12:44:11,SENSORS,,,,,,,,,,,67,271,-1105,-367,239,-238,1013,
180088,2018-06-30 12:44:12,2018-06-30,12:44:12,GPS,6,3916,61,0,1.3,44.801785,1.611407,283,0,286,67,271,-1099,-361,220,-232,1008,
180088,2018-06-30 12:44:12,2018-06-30,12:44:12,SENSORS,,,,,,,,,,,66,267,-1100,-359,223,-220,1001,
180088,2018-06-30 12:44:13,2018-06-30,12:44:13,GPS,6,3916,61,0,1.3,44.801777,1.611405,284,0,256,66,268,-1102,-365,218,-228,1019,
180088,2018-06-30 12:44:13,2018-06-30,12:44:13,SENSORS,,,,,,,,,,,66,265,-1105,-364,223,-240,1022,
180088,2018-06-30 12:44:14,2018-06-30,12:44:14,GPS,6,3913,61,0,1.3,44.801773,1.611407,284,0,231,66,265,-1101,-368,220,-234,1014,
180088,2018-06-30 12:44:14,2018-06-30,12:44:14,SENSORS,,,,,,,,,,,66,263,-1101,-367,223,-240,1020,
180088,2018-06-30 12:44:15,2018-06-30,12:44:15,GPS,6,3916,61,0,1.3,44.801773,1.611407,285,0,261,66,265,-1100,-366,221,-237,1014,
180088,2018-06-30 12:44:15,2018-06-30,12:44:15,SENSORS,,,,,,,,,,,66,266,-1100,-374,223,-236,1041,
180088,2018-06-30 12:44:16,2018-06-30,12:44:16,GPS,6,3916,61,0,1.3,44.801773,1.611405,285,0,270,66,268,-1095,-358,219,-233,1010,
180088,2018-06-30 12:44:16,2018-06-30,12:44:16,SENSORS,,,,,,,,,,,66,268,-1099,-361,223,-226,1013,
180088,2018-06-30 12:44:17,2018-06-30,12:44:17,GPS,6,3910,60,0,1.3,44.801773,1.611405,284,0,337,66,266,-1094,-358,217,-232,1015,
180088,2018-06-30 12:44:17,2018-06-30,12:44:17,SENSORS,,,,,,,,,,,66,263,-1096,-366,239,-232,1014,
180088,2018-06-30 12:44:18,2018-06-30,12:44:18,GPS,6,3916,61,0,1.3,44.801773,1.611407,284,0,129,66,264,-1095,-360,211,-226,1013,
180088,2018-06-30 12:44:18,2018-06-30,12:44:18,SENSORS,,,,,,,,,,,66,262,-1098,-362,239,-241,1007,
180088,2018-06-30 12:44:19,2018-06-30,12:44:19,GPS,6,3916,61,0,1.3,44.801773,1.611407,284,0,34,66,270,-1099,-349,233,-230,1024,
180088,2018-06-30 12:44:19,2018-06-30,12:44:19,SENSORS,,,,,,,,,,,66,272,-1101,-357,223,-251,999,
180088,2018-06-30 12:44:20,2018-06-30,12:44:20,GPS,6,3910,60,0,1.3,44.801777,1.611408,283,0,61,66,267,-1097,-360,219,-228,1015,
180088,2018-06-30 12:44:20,2018-06-30,12:44:20,SENSORS,,,,,,,,,,,66,269,-1098,-353,191,-224,1031,
180088,2018-06-30 12:44:21,2018-06-30,12:44:21,GPS,6,3921,62,0,1.3,44.801777,1.61141,283,0,70,66,265,-1094,-363,214,-230,1013,
180088,2018-06-30 12:44:21,2018-06-30,12:44:21,SENSORS,,,,,,,,,,,66,269,-1096,-358,239,-229,1009,
180088,2018-06-30 12:44:22,2018-06-30,12:44:22,GPS,6,3913,61,0,1.3,44.801773,1.611413,283,0,82,66,265,-1099,-360,225,-230,1019,
180088,2018-06-30 12:44:22,2018-06-30,12:44:22,SENSORS,,,,,,,,,,,66,268,-1096,-361,223,-242,1026,
180088,2018-06-30 12:44:23,2018-06-30,12:44:23,GPS,6,3916,61,0,1.3,44.801773,1.611418,283,0,89,66,267,-1091,-362,220,-233,1013,
180088,2018-06-30 12:44:23,2018-06-30,12:44:23,SENSORS,,,,,,,,,,,66,266,-1088,-365,223,-239,989,
180088,2018-06-30 12:44:24,2018-06-30,12:44:24,GPS,6,3916,61,0,1.3,44.801773,1.611418,282,0,110,66,263,-1075,-359,187,-226,1029,
180088,2018-06-30 12:44:24,2018-06-30,12:44:24,SENSORS,,,,,,,,,,,66,267,-1076,-353,207,-225,1017,
180088,2018-06-30 12:44:25,2018-06-30,12:44:25,GPS,6,3916,61,0,1.3,44.801773,1.611423,282,0,96,66,260,-1051,-345,121,-236,1052,
180088,2018-06-30 12:44:25,2018-06-30,12:44:25,SENSORS,,,,,,,,,,,66,263,-1055,-350,143,-229,1029,
180088,2018-06-30 12:44:26,2018-06-30,12:44:26,GPS,6,3921,62,0,1.3,44.801769,1.61142,282,0,96,66,290,-1098,-347,365,-92,988,
180088,2018-06-30 12:44:26,2018-06-30,12:44:26,SENSORS,,,,,,,,,,,66,297,-1108,-346,415,-69,962,
180088,2018-06-30 12:44:27,2018-06-30,12:44:27,GPS,6,3921,62,0,1.3,44.801769,1.611413,282,0,97,66,302,-1000,-295,146,-56,1029,
180088,2018-06-30 12:44:27,2018-06-30,12:44:27,SENSORS,,,,,,,,,,,66,305,-989,-289,143,-34,1049,
180088,2018-06-30 12:44:28,2018-06-30,12:44:28,GPS,6,3921,62,0,1.3,44.801769,1.611413,282,0,91,66,287,-988,-294,190,-110,1053,
180088,2018-06-30 12:44:28,2018-06-30,12:44:28,SENSORS,,,,,,,,,,,66,285,-987,-311,223,-99,973,
180088,2018-06-30 12:44:29,2018-06-30,12:44:29,GPS,6,3924,62,0,1.3,44.801769,1.611413,282,0,98,66,293,-994,-315,239,-76,1036,
180088,2018-06-30 12:44:29,2018-06-30,12:44:29,SENSORS,,,,,,,,,,,66,287,-989,-305,239,-103,1016,
180088,2018-06-30 12:44:30,2018-06-30,12:44:30,GPS,6,3916,61,0,1.3,44.801769,1.611413,281,0,98,66,275,-977,-312,248,-117,1020,
180088,2018-06-30 12:44:30,2018-06-30,12:44:30,SENSORS,,,,,,,,,,,66,276,-980,-315,255,-137,1023,
180088,2018-06-30 12:44:31,2018-06-30,12:44:31,GPS,6,3918,61,0,1.3,44.801769,1.611415,281,0,102,66,266,-977,-332,251,-137,1029,
180088,2018-06-30 12:44:31,2018-06-30,12:44:31,SENSORS,,,,,,,,,,,66,267,-980,-318,271,-131,1021,
