date,species,individual,type unit,numero unit,heure UTC ON,heure UTC calibr start,Type Calibr start,heure UTC calibr end,Type Calibr end,heure UTC OFF,Frequence (Hz),Rem
25/06/2018,VH,GISELE,AGM,5,09:25:30,09:34:30,5 heave + 5 surge + sway,15:22:00,5 heave + 5 surge + sway,15:27:50,25,
25/06/2018,VF,HENRI,AGM,6,09:26:00,09:34:30,5 heave + 5 surge + sway,15:22:00,5 heave + 5 surge + sway,15:28:50,25,
25/06/2018,VF,LEON,AGM,7,09:27:00,09:34:30,5 heave + 5 surge + sway,15:22:00,5 heave + 5 surge + sway,15:27:35,25,
25/06/2018,VF,HERCULE,AGM,8,,09:34:30,5 heave + 5 surge + sway,15:22:00,5 heave + 5 surge + sway,,25,Tag did not start?
25/06/2018,VH,GAELLE,AT,G,09:24:50,09:34:30,5 heave + 5 surge + sway,15:22:00,5 heave + 5 surge + sway,15:30:09,25,Pressure sensor under tape for flights 1 & 2 & 3
25/06/2018,RAV,MANU/KHAN,AT,H,09:24:50,09:34:30,5 heave + 5 surge + sway,15:22:00,5 heave + 5 surge + sway,15:30:40,25,Pressure sensor under tape for flights 1 & 2 free for flight 3
25/06/2018,RUPPEL,KIRIKOU,AT,I,09:24:50,09:34:30,5 heave + 5 surge + sway,15:22:00,5 heave + 5 surge + sway,15:30:22,25,Pressure sensor under tape for flights 1 & 2 & 3
25/06/2018,CONDOR,KUZCO,AT,J,09:24:50,09:34:30,5 heave + 5 surge + sway,15:22:00,5 heave + 5 surge + sway,15:30:15,25,Pressure sensor under tape for flights 1 & 2 free for flight 3
25/06/2018,PYGTB,LAFAYETTE,AXY1,1,09:28:01,09:34:30,5 heave + 5 surge + sway,,5 heave + 5 surge + sway,11:00:00,25,logger fallen on the ground: probably stopped at that time before the flights
25/06/2018,PYGTB,DAKOTA,AXY1,2,09:28:30,09:34:30,5 heave + 5 surge + sway,,5 heave + 5 surge + sway,,25,Collected only few data stopped at 09:30
25/06/2018,VF,GREGOIRE,AXY1,3,09:28:45,09:34:30,5 heave + 5 surge + sway,15:22:00,5 heave + 5 surge + sway,15:25:50,25,
25/06/2018,VF,GREGOIRE,GIPSY1,3,09:23:00,,,,,,4,
25/06/2018,VH,GISELE,GIPSY1,5,09:23:00,,,,,,4,
25/06/2018,VF,HENRI,GIPSY1,6,09:23:00,,,,,,4,
25/06/2018,VF,HERCULE,GIPSY1,10,09:23:00,,,,,,4,
25/06/2018,VF,LEON,GIPSY1,13,09:23:00,,,,,,4,
25/06/2018,PYGTB,DAKOTA,GIPSY1,14,09:23:00,,,,,,4,
25/06/2018,PYGTB,LAFAYETTE,GIPSY5,A,09:23:00,,,,,,5,
26/06/2018,VF,HENRI,AGM,5,08:22:45,08:45:00,5 heave + 5 surge + sway,15:17:00,5 heave + 5 surge + sway,15:44:50,25,
26/06/2018,VH,GAELLE,AGM,6,08:22:50,08:45:00,5 heave + 5 surge + sway,15:17:00,5 heave + 5 surge + sway,15:42:28,25,
26/06/2018,RUPPEL,KIRIKOU,AGM,7,08:22:55,08:45:00,5 heave + 5 surge + sway,15:17:00,5 heave + 5 surge + sway,15:46:45,25,
26/06/2018,VF,GREGOIRE,AT,G,08:18:00,08:45:00,5 heave + 5 surge + sway,15:17:00,5 heave + 5 surge + sway,15:26:00,25,
26/06/2018,CONDOR,KUZCO,AT,H,08:18:00,08:45:00,5 heave + 5 surge + sway,15:17:00,5 heave + 5 surge + sway,15:26:00,25,
