matchID,date,group,age,species,individual,GPS_id,ACC_id,harness_type,flight,heure.UTC.release.first,TAKE.OFF.Heure.UTC.GPS,LANDING.Heure.UTC.GPS,heure.UTC.GROUND,heure.UTC.perch,Notes
01/07/2018_DAGOBERT_I,01/07/2018,no group,NA,PYGTB,DAGOBERT,I,I,Tail,2,12:30:45,417202,430477,??,NA,
01/07/2018_DAGOBERT_I,01/07/2018,no group,NA,PYGTB,DAGOBERT,I,I,Tail,3,14:06:28,560777,567952,14:11:31,NA,
01/07/2018_DAKOTA_H,01/07/2018,no group,NA,PYGTB,DAKOTA,H,H,Tail,1,10:28:17,NA,NA,??,NA,2nd flight without logger so no data.
01/07/2018_GAELLE_14,01/07/2018,2,young,VH,GAELLE,14,2,BackPack,1,10:21:00,10:21:00.25,10:50:06.75,10:50:07,NA,ACC too high values. Calibration not found.
01/07/2018_GAELLE_14,01/07/2018,2,young,VH,GAELLE,14,2,BackPack,2,12:17:33,12:17:30.50,12:44:54.25,12:44:54,NA,ACC too high values. Calibration not found.
01/07/2018_GAELLE_14,01/07/2018,2,young,VH,GAELLE,14,2,BackPack,3,13:55:17,13:55:16.25,14:09:20.75,14:09:23,NA,ACC too high values. Calibration not found.
01/07/2018_GISELE_5,01/07/2018,1,old,VH,GISELE,5,5,LegLoop,1,10:18:54,10:18:55.00,11:07:03.50,11:07:06,NA,
01/07/2018_GISELE_5,01/07/2018,1,old,VH,GISELE,5,5,LegLoop,2,12:19:32,12:19:30.25,12:54:46.50,12:55:00,NA,
01/07/2018_GISELE_5,01/07/2018,1,old,VH,GISELE,5,5,LegLoop,3,13:52:45,13:52:45.00,14:15:55.75,14:16:02,NA,
01/07/2018_GREGOIRE_180089,01/07/2018,1,old,VF,GREGOIRE,180089,180089,BackPack,1,10:19:00,NA,NA,10:52:34,NA,
01/07/2018_GREGOIRE_180089,01/07/2018,1,old,VF,GREGOIRE,180089,180089,BackPack,2,12:19:48,NA,NA,12:44:16,NA,
01/07/2018_GREGOIRE_180089,01/07/2018,1,old,VF,GREGOIRE,180089,180089,BackPack,3,13:52:33,NA,NA,14:18:24,NA,
01/07/2018_HENRI_6,01/07/2018,1,old,VF,HENRI,6,6,LegLoop,1,10:18:54,10:18:52.25,10:52:01.75,10:52:02,NA,
01/07/2018_HENRI_6,01/07/2018,1,old,VF,HENRI,6,6,LegLoop,2,12:19:38,12:19:36.25,12:25:56.75,12:25:55,NA,
01/07/2018_HENRI_6,01/07/2018,1,old,VF,HENRI,6,6,LegLoop,3,13:53:00,13:52:31.00,14:08:25.00,14:08:32,NA,
01/07/2018_HERCULE_3LL-4BP,01/07/2018,2,young,VF,HERCULE,3,3,LegLoop,1,10:22:00,10:21:57.25,10:24:17.00,10:37:49,NA,
01/07/2018_HERCULE_3LL-4BP,01/07/2018,2,young,VF,HERCULE,4,4,BackPack,1,10:22:00,10:21:57.25,10:24:17.00,10:37:49,NA,
01/07/2018_HERCULE_3LL-4BP,01/07/2018,2,young,VF,HERCULE,3,3,LegLoop,2,12:16:10,12:19:54.75,12:28:51.75,12:28:53,NA,
01/07/2018_HERCULE_3LL-4BP,01/07/2018,2,young,VF,HERCULE,4,4,BackPack,2,12:16:10,12:19:54.75,12:28:51.75,12:28:53,NA,
01/07/2018_HERCULE_3LL-4BP,01/07/2018,2,young,VF,HERCULE,3,3,LegLoop,3,13:55:20,13:57:14.00,14:02:48.75,14:03:25,NA,
01/07/2018_HERCULE_3LL-4BP,01/07/2018,2,young,VF,HERCULE,4,4,BackPack,3,13:55:20,13:57:14.00,14:02:48.75,14:03:25,NA,
01/07/2018_KHAN_G,01/07/2018,2,young,RAV,KHAN,G,G,Tail,3,13:55:05,543752,592977,14:28:07,NA,
01/07/2018_KIRIKOU_180087,01/07/2018,2,young,VR,KIRIKOU,180087,180087,LegLoop,1,10:21:10,NA,NA,10:59:23,NA,
01/07/2018_KIRIKOU_180087,01/07/2018,2,young,VR,KIRIKOU,180087,180087,LegLoop,2,12:18:12,NA,NA,12:25:47,NA,
01/07/2018_KIRIKOU_180087,01/07/2018,2,young,VR,KIRIKOU,180087,180087,LegLoop,3,13:55:40,NA,NA,14:23:53,NA,
01/07/2018_KLEA_J,01/07/2018,no group,NA,Black Kite,KLEA,J,J,BackPack,2,12:09:16,NA,NA,12:14:48,NA,
01/07/2018_KLEA_J,01/07/2018,no group,NA,Black Kite,KLEA,J,J,BackPack,3,13:45:25,528752,555802,14:03:13,NA,
01/07/2018_KUZCO_B,01/07/2018,2,NA,CONDOR,KUZCO,B,1,BackPack,1,10:22:37,10:22:33.20,10:26:48.80,10:26:53,NA,
01/07/2018_KUZCO_B,01/07/2018,NA,NA,CONDOR,KUZCO,B,1,BackPack,2,12:20:00,12:19:44.00,12:26:00.60,12:25:55,NA,
01/07/2018_KUZCO_B,01/07/2018,NA,NA,CONDOR,KUZCO,B,1,BackPack,3,13:52:30,13:57:09.80,14:07:45.00,14:07:54,NA,
01/07/2018_LEON_180088,01/07/2018,2,young,VF,LEON,180088,180088,BackPack,1,10:21:52,NA,NA,10:49:52,NA,
01/07/2018_LEON_180088,01/07/2018,2,young,VF,LEON,180088,180088,BackPack,2,12:16:10,NA,NA,12:44:43,NA,
01/07/2018_LEON_180088,01/07/2018,2,young,VF,LEON,180088,180088,BackPack,3,13:55:27,NA,NA,14:14:09,NA,
01/07/2018_MANU_13,01/07/2018,1,old,RAV,MANU,13,7,LegLoop,2,12:20:04,12:20:03.99,12:28:56.25,12:29:00,NA,
01/07/2018_SHARON_I,01/07/2018,no group,NA,PYGTB,SHARON,I,I,Tail,1,10:31:04,238602,255202,10:43:08,NA,
25/06/2018_DAKOTA_14,25/06/2018,NA,NA,PYGTB,DAKOTA,14,2,LegLoop,1,11:34:45,11:34:45.00,12:42:20.25,12:41:21,12:41:21,Axy stopped collecting at 9:30 before flights. No acc data.
25/06/2018_GAELLE_G,25/06/2018,2,young,VH,GAELLE,G,G,tail,1,11:24:03,178127,222877,11:53:54,11:54:45,
25/06/2018_GAELLE_G,25/06/2018,2,young,VH,GAELLE,G,G,tail,2,12:52:00,310027,348752,13:17:34,13:18:14,
25/06/2018_GAELLE_G,25/06/2018,2,young,VH,GAELLE,G,G,tail,3,14:25:12,44990,474552,14:42:39,?,
25/06/2018_GISELE_5,25/06/2018,1,OLD,VH,GISELE,5,5,LegLoop,1,11:20:40,11:20:41.75,11:55:17.50,11:55:17,11:56:08,
25/06/2018_GISELE_5,25/06/2018,1,OLD,VH,GISELE,5,5,LegLoop,2,12:48:34,12:48:32.00,13:30:25.75,13:30:25,13:31:30,
25/06/2018_GISELE_5,25/06/2018,1,OLD,VH,GISELE,5,5,LegLoop,3,14:22:08,14:22:06.75,14:38:40.75,14:38:40,?,
