"tag_session_id","start.timestamp","end.timestamp","flightDuration_sec","propSoaring","propActive","species_id","flightID","Date","flightSession","GPS_id","individual","ACC_id","harness_type","TAG_id","harnessExp","ACC_type","stepLength.sum","odbaAvg_smooth3s.sum","vedbaAvg_smooth3s_move.sum","vedbaAvg_smooth05s_flap.sum","vedbaAvg_smooth025s_noise.mean","vedbaCum_smooth025s_noise.mean"
"2018-06-25_gps13_acc7_flight1","2018-06-25 11:24:21","2018-06-25 12:33:18",4138,0.591590140164331,0.0227162880618656,"VF","gps13_flight1","2018-06-25",1,"13","LEON","7","LegLoop","gps13_acc7","treatment","AGM",59058.5467726814,798.74298448387,548.039639412836,343.681826169605,0.064798552949624,1.61996382422393
"2018-06-25_gps13_acc7_flight3","2018-06-25 14:25:33","2018-06-25 14:38:39",787,0.59720457433291,0.218551461245235,"VF","gps13_flight3","2018-06-25",3,"13","LEON","7","LegLoop","gps13_acc7","treatment","AGM",7338.126083921,355.497891548,245.5263099639,208.8060885056,0.210126584025032,5.25316461138501
"2018-06-25_gps3_acc3_flight1","2018-06-25 11:21:03","2018-06-25 11:50:59",1797,0.57039510294936,0.00500834724540901,"VF","gps3_flight1","2018-06-25",1,"3","GREGOIRE","3","LegLoop","gps3_acc3","treatment","AXY",25022.3824999,398.107542985,276.709113036,182.866197887,0.0851357669894268,2.12839417424597
"2018-06-25_gps3_acc3_flight2","2018-06-25 12:48:47","2018-06-25 13:25:17",2191,0.566864445458695,0.00638977635782748,"VF","gps3_flight2","2018-06-25",2,"3","GREGOIRE","3","LegLoop","gps3_acc3","treatment","AXY",33300.08252587,449.795158574,312.791111721,206.566032077,0.0766291539406664,1.91572884843907
"2018-06-25_gps3_acc3_flight3","2018-06-25 14:22:32","2018-06-25 14:38:02",931,0.66702470461869,0.114930182599356,"VF","gps3_flight3","2018-06-25",3,"3","GREGOIRE","3","LegLoop","gps3_acc3","treatment","AXY",9225.74795124,274.7577402185,194.3219491784,153.1058265089,0.124621179446831,3.11552948116219
"2018-06-25_gps5_acc5_flight1","2018-06-25 11:20:50","2018-06-25 11:55:10",2061,0.514798641436196,0.00291120815138282,"VH","gps5_flight1","2018-06-25",1,"5","GISELE","5","LegLoop","gps5_acc5","treatment","AGM",26876.0946817,371.310614284,258.302860341,152.708746473,0.0546305986443474,1.36576496557496
"2018-06-25_gps5_acc5_flight2","2018-06-25 12:48:41","2018-06-25 13:30:18",2498,0.487990392313851,0.00120096076861489,"VH","gps5_flight2","2018-06-25",2,"5","GISELE","5","LegLoop","gps5_acc5","treatment","AGM",29487.6179017,452.133250859,311.131686898,184.105778681,0.0543335643144516,1.35833910679343
"2018-06-25_gps5_acc5_flight3","2018-06-25 14:22:15","2018-06-25 14:38:33",979,0.762002042900919,0.00306435137895812,"VH","gps5_flight3","2018-06-25",3,"5","GISELE","5","LegLoop","gps5_acc5","treatment","AGM",10990.329694,229.315384905,160.208174901,92.431781387,0.0709550023544433,1.77387506016343
"2018-06-25_gps6_acc6_flight1","2018-06-25 11:20:54","2018-06-25 11:32:57",724,0.636740331491713,0.0966850828729282,"VF","gps6_flight1","2018-06-25",1,"6","HENRI","6","Backpack","gps6_acc6","treatment","AGM",8509.8033593,236.585183202,159.38332068,129.1253066,0.135526426813536,3.38816066773481
"2018-06-25_gps6_acc6_flight2","2018-06-25 12:48:44","2018-06-25 13:12:55",1452,0.635674931129477,0.00413223140495868,"VF","gps6_flight2","2018-06-25",2,"6","HENRI","6","Backpack","gps6_acc6","treatment","AGM",19007.4207286,266.458466725,177.574480381,111.690104072,0.0614704847913223,1.53676211816804
